Apartment ID	Bitrix Additional ID	Alma External ID	Alma Additional ID	Ext ID Match	Add ID Match	Has Add ID	Alma Name	Error
144	26	144	26	YES	YES	YES	Ap. 73. Sobha Creek Vistas Reserve A (left side), apt. 1411	
138	N/A	N/A	N/A	NO	NO	N/A	N/A	Alma API error: HTTP 404
134	16	134	16	YES	YES	YES	Ap. 68. Princess tower, apt. 4410	
132	14	132	14	YES	YES	YES	Ap. 67. GoldCrest Executive, apt. 2310	
128	210	128		YES	NO	NO	Ap. 65. Yacht Bay, apt. 1504	
124	206	124	206	YES	YES	YES	Ap. 63. Bonaire, apt. 2404	
122	204	122	204	YES	YES	YES	Ap. 62. Princess, apt. 2704	
120	202	120	202	YES	YES	YES	Ap. 61. Park Point. Block B. apt. 513	
114	186	114	186	YES	YES	YES	Ap. 58. Burj Al Noujoum, apt. 2304	
110	182	110	182	YES	YES	YES	Ap. 56. Concorde Tower, apt. 2106	
104	176	104	176	YES	YES	YES	Ap. 53. Reva Residences, apt. 617	
100	172	100	172	YES	YES	YES	Ap. 51. Jumeirah Bay X1, apt. 1008	
96	168	96	168	YES	YES	YES	Ap. 49. Concorde Tower, apt. 1706	
94	166	94	166	YES	YES	YES	Ap. 48. LIV Residence, apt. 203	
90	162	90	162	YES	YES	YES	Ap. 46. Botanica, apt. 808	
88	160	88	160	YES	YES	YES	Ap. 45. Iris Blue, apt. 2106	
86	158	86	158	YES	YES	YES	Ap. 44. Studio One, apt. 2701	
78	150	78	150	YES	YES	YES	Ap. 40. Marina View A, apt. 604	
76	148	76	148	YES	YES	YES	Ap. 39. Dubai Gate 1, apt. 210	
74	146	74	146	YES	YES	YES	Ap. 38. Al Arta 1, apt. 216	
70	142	70	142	YES	YES	YES	Ap. 36. Princess Tower, apt. 807	
68	140	68	140	YES	YES	YES	Ap. 35. Concorde Tower, apt. 1309	
62	134	62	134	YES	YES	YES	Ap. 32. Princess tower, apt. 6001	
50	114	50	114	YES	YES	YES	Ap. 26. Sulafa Tower, apt. 2204	
38	94	38	94	YES	YES	YES	Ap. 20. Dubai Gate 1, apt. 1309	
36	92	36	92	YES	YES	YES	Ap. 19. MJL Rahaal 2, apt. 506	
30	86	30	86	YES	YES	YES	Ap. 16. Bahar 6, apt. 105	
24	80	24	80	YES	YES	YES	Ap. 13. Al Waleed Paradise, apt. 1005	
