External ID	Alma ID	Additional External ID	is_used	Name	Project	Has Additional ID
1544	15022	1504	true	Ap. 560.  Socio Tower 1, apt.  419	Dubai	YES
1532	15039	1492	true	Ap. 588. CREEK EDGE Tower 1, apt.  907	Dubai	YES
1518	15032	1468	true	Ap. 590. Binghatti Heights, apt. 1404	Dubai	YES
1516	15030	1464	true	Ap. 586. Lotus at Creek Beach Building 2, apt. 304	Dubai	YES
1506	15023	1448	true	Ap. 554. Orchid Creek Beach, apt. 401	Dubai	YES
1500	15020	1442	true	Ap. 575. Blue Bell Residence, apt. P2-03	Dubai	YES
1470	15006	1388	true	Ap. 578. Stella Maris, apt. 1501	Dubai	YES
1464	15003	1384	true	Ap. 426. Nobles, apt. 205	Dubai	YES
1456	15468	1374	true	Ap. 559. Zada tower, apt. 1020	Dubai	YES
1450	14988	1366	true	Ap. 514. CONCEPT 7 RESIDENCES, apt. 204	Dubai	YES
1432	14953	1348	true	Ap. 557. Beach Isle, apt. 507	Dubai	YES
1430	14952	1346	true	Ap. 561. Murjan 2, apt. 211	Dubai	YES
1412	15427	1322	true	Ap. 544.  ZADA TOWER, apt. 203	Dubai	YES
1410	14989	1330	true	AP. 550. Vera tower, apt. 518	Dubai	YES
1390	14935	1290	true	Ap. 549. Sparkle Tower 2, apt. 1107	Dubai	YES
1388	14934	1288	true	Ap. 548. BD Standpoint B, apt. 1208	Dubai	YES
1382	14932	1278	true	Ap. 545. BLVD Central 2, apt. 1704	Dubai	YES
1376	9307	1276	true	Ap. 542. Park Heights, apt. 302	Dubai	YES
1372	9305	1272	true	Ap. 537. Al Waleed Paradise, apt. 503	Dubai	YES
1356	5573	1254	true	Ap. 533. Azizi Berton, apt. 329	Dubai	YES
1352	5571	1250	true	Ap. 534. Lake View, apt. 1716	Dubai	YES
1350	5565	1248	true	Ap. 532. Binghatti Corner, apt. 506	Dubai	YES
1346	5559	1230	true	Ap. 527. Damac Hills Carson B,  apt. 2012	Dubai	YES
1328	5540	1212	true	Ap. 517. Concorde tower, apt. 1002	Dubai	YES
1326	5539	1210	true	Ap. 515. Beach Vista Tower 1, apt. 701	Dubai	YES
1294	5497	1170	true	Ap. 464. MBL Royal, apt. 204	Dubai	YES
1292	5495	1168	true	Ap. 441. MBL Royal, apt. 1902	Dubai	YES
1286	5489	1162	true	Ap. 491. MAG 214, apt. 1703	Dubai	YES
1280	5484	1158	true	Ap. 495. The Residences at Marina Gate 1, apt. 4204	Dubai	YES
1276	5481	1154	true	Ap. 494. Socio Tower 2, apt. 109	Dubai	YES
1258	5463	1134	true	Ap. 489. ZADA tower, apt. 2520	Dubai	YES
1256	5462	1130	true	Ap. 492. Collective 2.0 Tower A, apt. 711	Dubai	YES
1252	5457	1124	true	Ap. 274. Azizi Riviera 48, apt. 425	Dubai	YES
1248	5531	1126	true	Ap. 487. MAG218, apt.  1407	Dubai	YES
1230	4881	1102	true	Ap. 469. Binghatti Corner, apt. 2404	Dubai	YES
1212	5408	1084	true	Ap. 437. Azizi Riviera 48, apt. 804	Dubai	YES
1186	4698	1058	true	Ap. 467. MeDoRe, apt. 1611	Dubai	YES
1168	5417	1044	true	Ap. 475. Binghatti House, apt. 2403	Dubai	YES
1160	4694	1038	true	Ap. 383. Binghatti Corner, apt. 2512	Dubai	YES
1150	4675	1030	true	Ap. 442. Binghatti Corner, apt. 1808	Dubai	YES
1142	2619	1026	true	Ap. 420. Boutique XII, apt. 502	Dubai	YES
1140	5424	1024	true	Ap. 450. Luma22 - East Tower, apt. 205	Dubai	YES
